hotel_id,hotel_name,accomodation,star_rating,public_rating,review_count,review_rating,room_count,room_type,room_area,room_facilities,hotel_facilities,additional_info,hotel_description,point_of_interest,latitude,longitude,address,area,city,state,price,hotel_image
11,Ashirwad Homestay,Hotel,0,90,21,4.3,4,Deluxe Ac Suite with Kitchentte,,Room Service |Basic Bathroom Amenities|Ceiling Fan|Tea Coffee Kettle / Maker|Mirror,Business Center |Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Welcome Drinks|Power Backup|Gardens|Conference Facility |Kitchen available (home cook food on request)|Car Rental|Board Room|Internet Access Free|Newspapers In Lobby|Children's Park| Cook Services|Parking Facility|Room Service,Room Service|Free Internet,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We will require ID proof of all guest including spouses and fiances. Checkout is 12 noon which can be flexible depending on guest booking for that particular day.,Rg Baruah Road|Nehru Stadium|Guwahati Railway Station|Assam State Museum|Guwahati Planetarium,26.16618281,91.77741357,"Ashirwad Enclave, Lakhimi Path, Jonali, R.G.Baruah Road,",Rg Baruah Road,Guwahati,Assam,2895,10
12,Apna Ghar- Sector 46,Guest House,0,0,0,0,32,Deluxe Room,,Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Iron / Ironing board available|Tea Coffee Kettle / Maker|Internet Connection In Room|Telephone|Safe - In - Room,Airport Transfer Available / Surcharge|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|Extra Person / Child - Share the same room|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,Room Service|Internet Access|Free Internet,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,The Great India Place|Worlds of Wonder|Botanical Garden Metro Station|Noida Golf Course Metro Station|Shipra Mall|Others,28.5522379,77.3597194,"Near Botanical Garden Metro Station,Sec  -  46",Others,NOIDA,Uttar Pradesh,3119,23
13,Baba Guest House,Guest House,0,0,0,0,3,Standard Room,,Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Internet Connection In Room|Telephone|Newspapers| Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|Window Opens|TV|Mirror|Daily Room Cleaning|Dustbins|In-room Storage Space|Sufficient Lighting|Western Toilet Seat,Doctor on Call|Parking Facilities Available|Front Desk|Power Backup|Smoking Area |Internet Access Free|Courier Service|Parking Facility|Room Service,Room Service|Free Internet,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,North Delhi|Parsavnath Mall Rohini|Metro Walk|Rohini|Jaipur Golden Hospital|Dr. Baba Saheb Ambedkar Hospital,28.7097476,77.1103954,"429, Sector-6, Rohini, Near Vidha Jain Public School",Rohini,Delhi,Delhi,10780,8
14,Baragarh Villa,Villa,4,0,0,0,4,Royal Suite,,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Mineral Water|Attached Bathroom,Doctor on Call|Lobby|Parking Facilities Available|Front Desk|24 Hour Front Desk|Gardens,,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Naggar Road|Manali 1st Super Market|Chandrakhani Pass|Vashist Hot Water Springs and Temples,32.2459026,77.1880853,"Village Gurdorh, Naggar Road, Manali,Distt. Kullu Himachal Pradesh",Naggar Road,Manali,Himachal Pradesh,12060,8
15,Annapurna Guest House,Guest House,0,92,38,4.6,2,AC 1 BHK,,Air Conditioning |Ceiling Fan|Full Kitchen|Refrigerator|Shower Facility Available| Hot / Cold Running Water|Breakfast Available|Coffee Table|Split A.C's|TV|Mirror|Utensils (on request)|Gas Cylinder - Chargeable|Attached Bathroom,,,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly AS PER GOVERNMENT DIRECTIVES IT IS MANDATORY FOR ALL GUEST TO SHOW THEIR PHOTO ID AT CHECK IN, WHICH CAN BE IN FORM OF PASSPORT AND VISA COPY/ DRIVING LICENSE/ VOTER ID CARD FAILING WHICH THE HOTEL RESERVES THE RIGHT OF REFUSAL.",Vintage Hospital And Medical Research Centre|Sinquerim Beach|Shanta Durga Temple|Chichekade Bus Stop|Candolim Bus Stop|Candolim Area|Fort Aguada|Miramar Beach|Kala Academy|North Goa|Candolim Beach,15.5049283,73.7919103,"Titawada, Nerul Bardez Goa",Candolim Area,Goa,Goa,6640,10
16,ARAVINDAR RESIDENCY,Hotel,0,67,28,3.6,22,Deluxe Room,10 X 10 Sq.ft.,Air Conditioning |Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom| Hot / Cold Running Water|Housekeeping|Toiletries|TV|Mirror,Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Locker Facility|Power Backup|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured,Room Service|Internet Access|Free Internet,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Most hotels do not allow unmarried / unrelated couples to check-in. This is at full discretion of the hotel management. No refund would be applicable in case the hotel denies check-in under such circumstances .,Thuraipakkam,12.8944628,80.2273584,"Plot No:2,Elcot Avenue,Rajiv Gandhi Road,(OMR),Near Sozhanganallur Signal, before aavin milk factory",Thuraipakkam,Chennai,Tamil Nadu,4313,15
17,Balaram Palace Resort,Palace,3,0,1,1,21,Royal Tent,,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Telephone|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Toiletries|Safe - In - Room |Wardrobe|HD / LCD Satellite TV |Mirror|Dressing Area|Luggage Rack|Attached Bathroom|Complete Bedding|Curtains/Shades|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|Extra Toilteries on Demand|Sufficient Lighting|Western Toilet Seat,Banquet Facilities|Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Major Credit Cards Accepted|Doorman|Wake-up Call / Service|Car Rental|Guide / Sightseeing Service|Room Service,Room Service|Internet Access,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly *Valid Identification Documents/ Proof are Mandatory. *In case of any unusual/ improper/ suspicious act, Hotel can cancel Room. *Unmarried and unrelated couples will not be allowed to check in due to security reason. *Customer has to carry a copy of booking voucher at the time of check in. *Check Inn and Check Out is 12:00 Noon. After that half day charges will be applicable. *Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel.  *Pets are not allowed.",Banaskantha,24.26778,72.483507,"Chitrasani Village, Off. Abu-Palanpur Highway No. 14, Banaskantha, Gujarat",Banaskantha,Chitrasani,Gujarat,9818,13
18,Bhadrawati Safari Lodge,Lodge,0,0,0,0,10,Luxury Room,,Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Telephone|Newspapers,Doctor on Call|24 Hour Front Desk|Room Service (24 Hours)|Room Service|CCTV,Room Service,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances.,Ranthambhore,26.0065687,76.6037222,"Village Savti, Dharampuri, P.O. Daulatpura, Distt. Khandar",Ranthambhore,Sawai Madhopur,Rajasthan,9490,18
19,AS Clarks inn,Hotel,3,84,57,4.2,10,Deluxe,,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Ceiling Fan|Telephone,Doctor on Call|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Power Backup|Campfire / Bon Fire|Internet Access Free|Outdoor Parking - Secured|Room Service|First-Aid Kit at Front Desk|Public Restrooms|Speciality Restaurant |Suites,Room Service|Free Internet,The standard check-in time is 01:00 PM and the standard check-out time is 11:30 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances Pets are not allowed. Valid Photo ID required for check-in,Dainkund Peak|Rang Mahal|The Mall,32.537371,75.9824737,"NT Mall Road, Dalhousie ,176304(HP)",The Mall,Dalhousie,Himachal Pradesh,7078,30
20,"Beautiful Alleppey Tours Two Bedroom, Alleppey",Houseboat,0,0,0,0,2,Deluxe Room,,,Doctor on Call,,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates  extra supplement will be charged over and above the paid rates as per actual and hotel discretion.",Champakulam Church|Alleppey Railway Station|Others|Alleppey Beach,9.4980667,76.3388484,"Mullassery Building, Near Pallathuruthy Bridge, AC Road, Alleppey, Kerala, 688003",Others,Alleppey,Kerala,2043,6
21,Ashiyana,Homestay,0,0,0,0,5,Double Room,,,Business Center |Parking Facilities Available|24 Hour Front Desk|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Suites,Room Service|Free Internet,The standard check-in time is 10:00 AM and the standard check-out time is 09:45 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Need ID proof at the time of check in Unmarried couples not allowed,Chaitanya Hospital|Lokmanya Hospitals Joint Replacement Center|Mai Mangeshkar Hospital|Deenanath Mangeshkar Hospital|saras baug|Pune Bangalore Highway|Anandibai Narhar Gadgil Hospital|Krishna Hospital|Parvati Hill|Cipla Cancer &amp; Aids Foundation Care &amp; Training Center|Cipla Cancer & Aids Foundation Care & Training Center,18.47885819,73.82231814,Sinhgad road pune,Pune Bangalore Highway,Pune,Maharashtra,8555,8
22,ASHIRWAD LODGING,Hotel,0,87,41,3.2,10,NON AC DELUXE,,,Business Center |Doctor on Call|Laundry Service Available|24 Hour Front Desk|Power Backup|Room Service|CCTV,Room Service,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly we do not allow Unmarried / unrelated Couples to check-in .This is at full discretion of the hotel management.No refund would be applicable in case the check-in denied under such circumstances. ID-proof mandatory to submit.,Railway Station Rd|Shri Guru Gobind Singh Ji Airport,19.1382514,77.3209555,"Railway Station Rd,NEAR SHIVAJI STATUE,NANDED,MAHARASHTRA.",Railway Station Rd,Nanded,Maharashtra,5009,18
23,Aqua Marina Drive Inn,Resort,0,92,127,4.5,14,Aqua Super Royal AC (1st &amp; 2nd Floor with Sea View),,Air Conditioning |Cable / Satellite / Pay TV available|Attached Bathroom,Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Power Backup|Gardens|Room Service,Room Service|Restaurant,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Beach Road|Mandarmani Beach,21.66141333,87.69783314,"Dadanpatrabar, Mandarmani.",Beach Road,Mandarmani,West Bengal,4087,8
24,Annai Illam Guest House,Guest House,0,100,1,4.6,2,Triple bed room,14 X 14 Sq.ft.,Room Service |Telephone|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Breakfast Available|Toiletries|HD / LCD Satellite TV |Mirror|Attached Bathroom,Business Center |Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Power Backup|Gardens|Room Service (24 Hours)|STD / ISD|Parking Facility,Room Service|Restaurant,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Early check in and late check out is subject to availability and extras will be charged on direct payable basis.  No pets allowed.,Arthur Seat|Yercaud Main Town|Killiyur Falls,11.78877598,78.21110564,"Nagalore road  Opp petrol bunk,",Yercaud Main Town,Yercaud,Tamil Nadu,11380,9
